"TABLE_NAME","COLUMN_ID","COLUMN_NAME","UNIT","DATA_TYPE","DATA_LENGTH","PRIMARY_KEY","DESCRIPTION"
"DRYCHEM_SEASON","1.0","SITE_ID","","CHAR","6","","Site identification code"
"DRYCHEM_SEASON","3.0","SEASON","","CHAR","2","","Season of year in standard Tuesday-Tuesday weeks; WI=Winter, SP=Spring, SU=Summer, FA=Fall.."
"DRYCHEM_SEASON","4.0","DATEON","","DATE","19","","Date and time standard Tuesday-Tuesday period began, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM_SEASON","5.0","DATEOFF","","DATE","19","","Date and time standard Tuesday-Tuesday period ended, Local Standard Time; mm/dd/yyyy hh:mm:ss."
"DRYCHEM_SEASON","6.0","SO2_CONC","ug/m^3","NUMBER","8,4","","Mean ambient sulfur dioxide (SO2) concentration; ug/m^3."
"DRYCHEM_SEASON","7.0","SO4_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate sulfate (SO4) concentration; ug/m^3."
"DRYCHEM_SEASON","8.0","NO3_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate nitrate (NO3) concentration; ug/m^3."
"DRYCHEM_SEASON","9.0","HNO3_CONC","ug/m^3","NUMBER","8,4","","Mean ambient nitric acid (HNO3) concentration; ug/m^3."
"DRYCHEM_SEASON","10.0","TNO3_CONC","ug/m^3","NUMBER","8,4","","Total ambient nitrate (NO3+HNO3) concentration; ug/m^3."
"DRYCHEM_SEASON","11.0","NH4_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate ammonium (NH4) concentration; ug/m^3."
"DRYCHEM_SEASON","12.0","CA_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate calcium (Ca) concentration; ug/m^3."
"DRYCHEM_SEASON","13.0","NA_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate sodium (Na) concentration; ug/m^3."
"DRYCHEM_SEASON","14.0","MG_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate magnesium (Mg) concentration; ug/m^3."
"DRYCHEM_SEASON","15.0","K_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate potassium (K) concentration; ug/m^3."
"DRYCHEM_SEASON","16.0","CL_CONC","ug/m^3","NUMBER","8,4","","Mean ambient particulate chloride (Cl) concentration; ug/m^3."
